method,_run_name,_run_path,NMI,ARI,cell_type_ASW,isolated_label_F1,isolated_label_ASW,cell_cycle_conservation,hvg_conservation,trajectory_conservation,trajectory_conservation_note,batch_ASW,pcr_comparison,kBET,graph_connectivity,iLISI,cLISI,cfg_batch_key,cfg_label_key,cfg_n_pcs,cfg_scale_before_pca,cfg_scale_max_value,cfg_pca_solver,cfg_neighbors_within_batch,cfg_trim,cfg_set_op_mix_ratio,cfg_local_connectivity,cfg_diffmap_n_neighbors,cfg_umap_min_dist,cfg_umap_spread,cfg_leiden_resolution,cfg_n_isolated,cfg_lisi_subsample,cfg_compute_trajectory,cfg_plot_subsample_n,cfg_plot_subsample_stratify_by,cfg_run_tag,cfg_seed,cfg_save_h5ad,batch_key,label_key,seed,perf_total_time_s,perf_peak_rss_gb,perf_peak_gpu_gb,perf_num_steps,cfg_combat_space,cfg_input_layer,cfg_require_hvg,cfg_hvg_key,cfg_max_hvgs,cfg_hvg_flavor,cfg_covariates,cfg_neighbors_k,cfg_k,cfg_d,cfg_cos_norm,cfg_ndist,cfg_assay_type,cfg_write_minimal_h5ad,cfg_max_zero_signal_fraction,cfg_max_zero_signal_cells_report,cfg_clip_nonzero_max,cfg_clip_strategy,cfg_clip_quantile,cfg_harmony_theta,cfg_harmony_max_iter_harmony,cfg_input_layer_raw,cfg_k_factors,cfg_lambda_reg,cfg_n_iters,cfg_n_cores,cfg_align_method,cfg_save_rds,cfg_keep_temp_files,cfg_r_script_path,cfg_verbose,cfg_backend,cfg_use_hvg_subset,cfg_pca_basis_key,cfg_dimred,cfg_knn,cfg_alpha,cfg_sigma,cfg_approx,cfg_batch_size,cfg_counts_layer,cfg_unlabeled_category,cfg_train_progress_bar,cfg_n_latent,cfg_n_hidden,cfg_n_layers,cfg_gene_likelihood,cfg_use_gpu,cfg_max_epochs,cfg_early_stopping,cfg_early_stopping_patience,cfg_num_workers,cfg_pin_memory,cfg_dropout_rate,cfg_enable_progress_bar,cfg_reference_batch,cfg_input_layer_counts,cfg_mode,cfg_k_anchor,cfg_dims,dataset,output_type,scaled
bbknn,bbknn_full_hvg_seed0,Integration/full_hvg_seed0/runs/bbknn_full_hvg_seed0,0.6666551529124191,0.5042892131953328,0.43582288175821304,0.23980721897410856,0.5085083739832044,0.41620794340942285,1.0,,compute_trajectory=False,0.7886809212618613,0.7663307021962321,0.29800320262779845,0.9249872516884832,0.41492073017540587,0.9598926567336951,dataset,major_celltype_l1,50.0,False,10.0,arpack,5.0,,1.0,1.0,50.0,0.35,1.0,1.0,,,False,200000,dataset,bbknn_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,33887.03700566292,12.587760925292969,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combat,combat_full_hvg_seed0,Integration/full_hvg_seed0/runs/combat_full_hvg_seed0,0.37649930890822086,0.09276044692491785,0.4396173395216465,0.20997980577165573,0.45452690470431534,0.6854360549422822,0.37844444444444447,,compute_trajectory=False,0.7180207986422649,0.9997091103870447,0.08753174374560324,0.922861395832109,0.023165444615310726,0.9833166347537583,dataset,major_celltype_l1,50.0,False,10.0,arpack,,,,,,0.35,1.0,1.0,,,False,200000,dataset,combat_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,3685.5768663883205,18.974803924560547,,9,expr,,True,highly_variable,4000.0,seurat_v3,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fastmnn,fastmnn_full_hvg_seed0,Integration/full_hvg_seed0/runs/fastmnn_full_hvg_seed0,0.5570956541112548,0.22232992650684885,0.4684079699218273,0.2714275095970062,0.46974826444472584,0.8789255383765323,1.0,,compute_trajectory=False,0.7546218412429115,0.06113889872629252,0.23618416022768607,0.9779208994553217,0.17823389130926892,0.9861547184050844,dataset,major_celltype_l1,,,,,,,,,,0.35,1.0,1.0,,,False,200000,dataset,fastmnn_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,5145.471248865128,15.70438003540039,,9,,,True,highly_variable,4000.0,,,50.0,50.0,50.0,False,1.0,X,True,0.05,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmony,harmony_full_hvg_seed0,Integration/full_hvg_seed0/runs/harmony_full_hvg_seed0,0.5761209804820957,0.25872840301013234,0.5066646197810769,0.25367401753018815,0.5031884537311271,0.9371746198147921,0.9871111111111112,,compute_trajectory=False,0.8565678288546208,0.5327011358185045,0.24107914618115744,0.9584367640043635,0.1793815179887408,0.9920005823604138,dataset,major_celltype_l1,50.0,,,arpack,,,,,,0.4,1.0,1.0,,,False,200000,dataset,harmony_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,4017.1082718372345,13.061908721923828,,8,,,,,,,,25.0,,,,,,,,,10.0,absolute,0.999,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liger,liger_full_hvg_seed0,Integration/full_hvg_seed0/runs/liger_full_hvg_seed0,0.04157194638805401,0.0034037698420482008,0.46987056359648705,0.012695913195384198,0.4403396207262631,0.047233016431291644,1.0,,compute_trajectory=False,0.9182211408450489,0.9191940911539546,0.04464413065456996,0.5452655875144354,0.2601375493802938,0.842414659774941,dataset,major_celltype_l1,,,,,,,,,,0.4,1.0,1.0,,,False,200000,dataset,liger_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,3949.1638996601105,12.25055694580078,,10,,,True,highly_variable,,,,50.0,,,,,,,,,,,,,,counts,50.0,3.0,50.0,2.0,centroidAlign,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scanorama,scanorama_full_hvg_seed0,Integration/full_hvg_seed0/runs/scanorama_full_hvg_seed0,0.5811310979830082,0.2119423857311996,0.5273134830596499,0.41262385265300067,0.5638078478321292,0.8622192566688697,0.19777777777777777,,compute_trajectory=False,0.8288823226187538,0.09906853770627455,0.20859949258199606,0.9801226969436586,0.09637394308415859,0.9957713255961673,dataset,major_celltype_l1,50.0,False,10.0,arpack,,,,,,0.35,1.0,1.0,,,False,200000,dataset,scanorama_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,20869.791607618332,53.54648208618164,,7,,,False,highly_variable,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,True,scanorama,True,X_pca,50.0,30.0,0.1,20.0,True,5000.0,,,,,,,,,,,,,,,,,,,,,,,
scanvi,scanvi_full_hvg_seed0,Integration/full_hvg_seed0/runs/scanvi_full_hvg_seed0,0.6131202205161984,0.31743332713875017,0.5229273028671741,0.2752808194846787,0.5572136385765459,0.5895432495676312,1.0,,compute_trajectory=False,0.7353179063790578,0.33790652166518,0.26622315445484124,0.9025854214231646,0.20323063495952265,0.9962287289724449,dataset,major_celltype_l1,,,,,,,,,,0.35,1.0,1.0,,,False,200000,dataset,scanvi_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,4729.567896604538,14.421451568603516,0.0182809829711914,9,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048.0,counts,Unclassified,True,50.0,128.0,2.0,nb,True,200.0,True,10.0,4.0,False,,,,,,,,,,
scgen,scgen_full_hvg_seed0,Integration/full_hvg_seed0/runs/scgen_full_hvg_seed0,0.6322745623349344,0.31953381496029065,0.5449162609875202,0.5111158424296326,0.5696772733437163,0.7066420027559102,1.0,,compute_trajectory=False,0.8017524165339135,0.5636913811714538,0.33300499642249093,0.9795566063223574,0.15491090505258875,0.9977281854028929,dataset,major_celltype_l1,,,,,,,,,,0.35,1.0,1.0,,,False,200000,dataset,scgen_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,4743.395213127136,13.796432495117188,0.0161757469177246,12,,,True,highly_variable,4000.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,30.0,256.0,2.0,,True,200.0,True,25.0,4.0,False,0.1,True,,,,,,,,
scvi,scvi_full_hvg_seed0,Integration/full_hvg_seed0/runs/scvi_full_hvg_seed0,0.5638837669759357,0.23114797369866077,0.47226415760815144,0.29006026010636093,0.5422511950933507,0.687882640930487,1.0,,,0.7905276655833391,0.7266874482924638,0.17728949844456166,0.899853402993996,0.10584440896714353,0.9930070369973476,dataset,major_celltype_l1,,,,,,,,,,0.35,1.0,1.0,,,True,200000,dataset,scvi_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,3415.854829788208,14.169246673583984,0.0177564620971679,10,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,2048.0,counts,,True,50.0,128.0,2.0,nb,True,200.0,True,20.0,4.0,False,,,,,,,,,,
seurat,seurat_full_hvg_seed0,Integration/full_hvg_seed0/runs/seurat_full_hvg_seed0,0.5706960678860583,0.23494526841699645,0.5403906926512718,0.2870988849208235,0.554741323426632,0.3521124209942812,1.0,,compute_trajectory=False,0.7957577628792007,0.6031080633550849,0.31615062296962493,0.9268754491715345,0.27298358537772727,0.9839471581406957,dataset,major_celltype_l1,50.0,,,,,,,,,0.4,1.0,1.0,,,False,200000,dataset,seurat_full_hvg_seed0,0,True,dataset,major_celltype_l1,0,6247.024010658264,11.397327423095703,,9,,,True,highly_variable,4000.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rpca,20.0,30.0,,,
