method,cfg_batch_key,cfg_label_key,cfg_n_pcs,cfg_scale_before_pca,cfg_scale_max_value,cfg_pca_solver,cfg_neighbors_within_batch,cfg_trim,cfg_set_op_mix_ratio,cfg_local_connectivity,cfg_diffmap_n_neighbors,cfg_umap_min_dist,cfg_umap_spread,cfg_leiden_resolution,cfg_n_isolated,cfg_lisi_subsample,cfg_compute_trajectory,cfg_plot_subsample_n,cfg_plot_subsample_stratify_by,cfg_run_tag,cfg_seed,cfg_save_h5ad,cfg_combat_space,cfg_input_layer,cfg_require_hvg,cfg_hvg_key,cfg_max_hvgs,cfg_hvg_flavor,cfg_covariates,cfg_neighbors_k,cfg_k,cfg_d,cfg_cos_norm,cfg_ndist,cfg_assay_type,cfg_write_minimal_h5ad,cfg_max_zero_signal_fraction,cfg_max_zero_signal_cells_report,cfg_clip_nonzero_max,cfg_clip_strategy,cfg_clip_quantile,cfg_harmony_theta,cfg_harmony_max_iter_harmony,cfg_input_layer_raw,cfg_k_factors,cfg_lambda_reg,cfg_n_iters,cfg_n_cores,cfg_align_method,cfg_save_rds,cfg_keep_temp_files,cfg_r_script_path,cfg_verbose,cfg_backend,cfg_use_hvg_subset,cfg_pca_basis_key,cfg_dimred,cfg_knn,cfg_alpha,cfg_sigma,cfg_approx,cfg_batch_size,cfg_counts_layer,cfg_unlabeled_category,cfg_train_progress_bar,cfg_n_latent,cfg_n_hidden,cfg_n_layers,cfg_gene_likelihood,cfg_use_gpu,cfg_max_epochs,cfg_early_stopping,cfg_early_stopping_patience,cfg_num_workers,cfg_pin_memory,cfg_dropout_rate,cfg_enable_progress_bar,cfg_reference_batch,cfg_input_layer_counts,cfg_mode,cfg_k_anchor,cfg_dims
bbknn,dataset,major_celltype_l1,50.0,False,10.0,arpack,5.0,,1.0,1.0,50.0,0.35,1.0,1.0,,,False,200000,dataset,bbknn_full_hvg_seed0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combat,dataset,major_celltype_l1,50.0,False,10.0,arpack,,,,,,0.35,1.0,1.0,,,False,200000,dataset,combat_full_hvg_seed0,0,True,expr,,True,highly_variable,4000.0,seurat_v3,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fastmnn,dataset,major_celltype_l1,,,,,,,,,,0.35,1.0,1.0,,,False,200000,dataset,fastmnn_full_hvg_seed0,0,True,,,True,highly_variable,4000.0,,,50.0,50.0,50.0,False,1.0,X,True,0.05,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmony,dataset,major_celltype_l1,50.0,,,arpack,,,,,,0.4,1.0,1.0,,,False,200000,dataset,harmony_full_hvg_seed0,0,True,,,,,,,,25.0,,,,,,,,,10.0,absolute,0.999,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liger,dataset,major_celltype_l1,,,,,,,,,,0.4,1.0,1.0,,,False,200000,dataset,liger_full_hvg_seed0,0,True,,,True,highly_variable,,,,50.0,,,,,,,,,,,,,,counts,50.0,3.0,50.0,2.0,centroidAlign,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scanorama,dataset,major_celltype_l1,50.0,False,10.0,arpack,,,,,,0.35,1.0,1.0,,,False,200000,dataset,scanorama_full_hvg_seed0,0,True,,,False,highly_variable,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,True,scanorama,True,X_pca,50.0,30.0,0.1,20.0,True,5000.0,,,,,,,,,,,,,,,,,,,,
scanvi,dataset,major_celltype_l1,,,,,,,,,,0.35,1.0,1.0,,,False,200000,dataset,scanvi_full_hvg_seed0,0,True,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048.0,counts,Unclassified,True,50.0,128.0,2.0,nb,True,200.0,True,10.0,4.0,False,,,,,,,
scgen,dataset,major_celltype_l1,,,,,,,,,,0.35,1.0,1.0,,,False,200000,dataset,scgen_full_hvg_seed0,0,True,,,True,highly_variable,4000.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,30.0,256.0,2.0,,True,200.0,True,25.0,4.0,False,0.1,True,,,,,
scvi,dataset,major_celltype_l1,,,,,,,,,,0.35,1.0,1.0,,,True,200000,dataset,scvi_full_hvg_seed0,0,True,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,2048.0,counts,,True,50.0,128.0,2.0,nb,True,200.0,True,20.0,4.0,False,,,,,,,
seurat,dataset,major_celltype_l1,50.0,,,,,,,,,0.4,1.0,1.0,,,False,200000,dataset,seurat_full_hvg_seed0,0,True,,,True,highly_variable,4000.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rpca,20.0,30.0
