"Package","Version"
"batchelor","1.18.1"
"BiocManager","1.30.27"
"BiocNeighbors","1.20.2"
"BiocParallel","1.36.0"
"BiocSingular","1.18.0"
"Cairo","1.7-0"
"cowplot","1.2.0"
"dplyr","1.2.0"
"future","1.69.0"
"ggplot2","4.0.2"
"ggrepel","0.9.6"
"ggtext","0.1.2"
"grid","4.3.3"
"igraph","2.2.2"
"Matrix","1.6-5"
"methods","4.3.3"
"monocle3","1.4.26"
"patchwork","1.3.2"
"pkg","NOT_INSTALLED"
"readxl","1.4.5"
"RhpcBLASctl","0.23-42"
"rliger","2.2.1.9001"
"rstudioapi","0.18.0"
"S4Vectors","0.40.2"
"scales","1.4.0"
"SCORPIUS","1.0.10"
"Seurat","5.4.0"
"SingleCellExperiment","1.24.0"
"slingshot","2.10.0"
"stats","4.3.3"
"SummarizedExperiment","1.32.0"
"tidyr","1.3.2"
"tidyverse","2.0.0"
"TrajectoryUtils","1.10.0"
"TSCAN","1.40.0"
"utils","4.3.3"
"zellkonverter","1.12.1"
